year,ISO,LiNo,latitude,longitude,Breteau_index,Aeg_aed_index,Res_index,Contain_index,Larvae_index,date,
2007,12,31,22.639853,120.3219289,2,0.04,2,2.040816327,16,2007/3/19,2007/3/25
2009,2,31,22.639853,120.3219289,2,0.02,2,2.5,70,2009/1/5,2009/1/11
2011,18,31,22.639853,120.3219289,2,0,2,1.960784314,10,2011/4/25,2011/5/1
2011,26,31,22.639853,120.3219289,2,0,2,2.941176471,12,2011/6/20,2011/6/26
2011,41,31,22.639853,120.3219289,2,0.02,2,5.555555556,10,2011/10/3,2011/10/9
2011,43,31,22.639853,120.3219289,2,0,2,5.263157895,10,2011/10/17,2011/10/23
2005,10,32,22.6395987,120.3150812,2,0,2,3.125,4,2005/2/28,2005/3/6
2005,14,32,22.6395987,120.3150812,2,0.2,2,4.347826087,20,2005/3/28,2005/4/3
2005,18,32,22.6395987,120.3150812,2,0.1,2,2.43902439,2,2005/4/25,2005/5/1
2007,10,32,22.6395987,120.3150812,2,0,2,2.857142857,36,2007/3/5,2007/3/11
2007,7,32,22.6395987,120.3150812,2,0,2,3.03030303,6,2007/2/12,2007/2/18
2009,2,32,22.6395987,120.3150812,2,0,2,1.923076923,6,2009/1/5,2009/1/11
2011,24,32,22.6395987,120.3150812,2,0,2,3.333333333,6,2011/6/6,2011/6/12
2011,50,32,22.6395987,120.3150812,2,0,2,3.125,14,2011/12/5,2011/12/11
2012,20,32,22.6395987,120.3150812,2,0,2,1.315789474,26,2012/5/7,2012/5/13
2005,11,33,22.6386012,120.3053498,2,0.02,2,2.857142857,8,2005/3/7,2005/3/13
2005,52,33,22.6386012,120.3053498,2,0,2,4,30,2005/12/19,2005/12/25
2006,13,33,22.6386012,120.3053498,2,0,2,1.204819277,16,2006/3/20,2006/3/26
2006,9,33,22.6386012,120.3053498,2,0,2,1.694915254,8,2006/2/20,2006/2/26
2008,20,33,22.6386012,120.3053498,2,0.02,2,2.325581395,4,2008/5/12,2008/5/18
2008,52,33,22.6386012,120.3053498,2,0.02,2,2.564102564,22,2008/12/22,2008/12/28
2008,9,33,22.6386012,120.3053498,2,0,2,2.380952381,10,2008/2/25,2008/3/2
2009,11,33,22.6386012,120.3053498,2,0,2,1.851851852,38,2009/3/9,2009/3/15
2011,10,33,22.6386012,120.3053498,2,0,2,3.125,2,2011/2/28,2011/3/6
2011,25,33,22.6386012,120.3053498,2,0,2,3.03030303,20,2011/6/13,2011/6/19
2012,12,33,22.6386012,120.3053498,2,0,2,4.761904762,20,2012/3/12,2012/3/18
2012,19,33,22.6386012,120.3053498,2,0,2,4,6,2012/4/30,2012/5/6
2005,11,34,22.6387562,120.2981408,2,0.04,2,1.851851852,24,2005/3/7,2005/3/13
2006,9,34,22.6387562,120.2981408,2,0,2,1.724137931,10,2006/2/20,2006/2/26
2007,11,34,22.6387562,120.2981408,2,0,2,2.127659574,2,2007/3/12,2007/3/18
2007,14,34,22.6387562,120.2981408,2,0,2,1.587301587,36,2007/4/2,2007/4/8
2008,15,34,22.6387562,120.2981408,2,0,2,1.470588235,38,2008/4/7,2008/4/13
2009,21,34,22.6387562,120.2981408,2,0,2,1.851851852,2,2009/5/18,2009/5/24
2009,3,34,22.6387562,120.2981408,2,0,2,1.754385965,52,2009/1/12,2009/1/18
2012,1,34,22.6387562,120.2981408,2,0,2,4.347826087,10,2012/1/1,2012/1/1
2005,11,35,22.636206,120.3168833,2,0,2,2.941176471,2,2005/3/7,2005/3/13
2005,19,35,22.636206,120.3168833,2,0,2,1.470588235,8,2005/5/2,2005/5/8
2005,31,35,22.636206,120.3168833,2,0.02,4,1.754385965,48,2005/7/25,2005/7/31
2006,9,35,22.636206,120.3168833,2,0,2,1.449275362,20,2006/2/20,2006/2/26
2008,52,35,22.636206,120.3168833,2,0.02,2,2.083333333,8,2008/12/22,2008/12/28
